Index, Open, High, Low, Current Value, Prev. Close, Ch (pts), Ch (%), 52 Wk High, 52 WK Low, Turnover (Rs. Cr), % in Total Turnover
BSE SENSEX,81794.65,82282.25,81124.45,81941.15,82180.47,-239.32,-0.29,86159.02,71425.01,602.94,12.79
BSE FOCUSED MIDCAP,23794.61,23939.24,23278.25,23622.97,23900.64,-277.67,-1.16,25388.27,18935.55,242.00,5.14
BSE SENSEX 50,26233.35,26411.18,26032.58,26289.26,26353.30,-64.04,-0.24,27541.52,22582.21,880.40,18.68
BSE SENSEX Next 50,83878.24,84463.96,82626.68,83651.74,84247.68,-595.94,-0.71,88146.87,69787.64,470.64,9.99
BSE 100,26313.37,26491.78,26076.37,26345.20,26432.86,-87.66,-0.33,27621.72,22539.11,1351.04,28.67
BSE Bharat 22 Index,8882.05,8935.82,8803.73,8879.80,8913.10,-33.30,-0.37,9241.91,7356.51,272.06,5.77
BSE SENSEX SIXTY,33747.13,33974.37,33482.65,33815.88,33901.58,-85.70,-0.25,35434.57,29130.07,1010.18,21.44
BSE MidCap,44642.63,44920.07,43806.95,44403.08,44828.77,-425.69,-0.95,47764.30,37203.21,870.29,18.47
BSE SmallCap,47467.57,47727.54,46731.72,47363.53,47719.07,-355.54,-0.75,55792.26,41013.68,1831.87,38.87
BSE 200,11332.96,11410.84,11220.87,11340.89,11384.65,-43.76,-0.38,11944.41,9698.87,2220.55,47.12
BSE 150 MidCap Index,15638.62,15744.56,15356.25,15560.44,15714.36,-153.92,-0.98,16689.79,12866.17,1038.13,22.03
BSE 250 SmallCap Index,6162.67,6194.20,6073.01,6152.63,6193.53,-40.90,-0.66,7225.32,5296.93,1136.00,24.11
BSE 250 LargeMidCap Index,10742.47,10815.92,10632.01,10746.52,10791.45,-44.93,-0.42,11319.13,9161.54,2485.69,52.75
BSE 400 MidSmallCap Index,11448.91,11515.11,11255.09,11404.07,11504.97,-100.90,-0.88,12466.64,9555.95,2174.14,46.13
BSE 500,35819.88,36052.28,35438.27,35826.90,35984.65,-157.75,-0.44,37874.46,30571.61,3621.69,76.85
BSE LargeCap,9643.18,9710.68,9561.24,9660.00,9688.01,-28.01,-0.29,10137.79,8286.22,1745.37,37.04
BSE SmallCap Select Index,7615.26,7651.63,7497.86,7587.94,7646.48,-58.54,-0.77,8351.29,5962.56,358.48,7.61
BSE MidCap Select Index,16764.91,16868.76,16362.95,16607.95,16821.32,-213.37,-1.27,17884.64,13537.75,304.99,6.47
BSE 100 LargeCap TMC Index,9269.00,9332.88,9192.46,9285.75,9310.56,-24.81,-0.27,9738.10,7960.27,1447.56,30.72
BSE SENSEX NEXT 30,39192.04,39589.98,38935.21,39312.34,39350.05,-37.71,-0.10,41405.37,32124.65,407.24,8.64
BSE 1000,10602.92,10669.60,10487.90,10604.42,10652.31,-47.89,-0.45,11234.91,9066.73,4117.92,87.38
BSE India 150,18734.55,18865.08,18553.73,18748.59,18820.34,-71.75,-0.38,19711.88,17474.55,1616.63,34.30
Index,Current Value,Prev. Close,Ch (pts),Ch (%),Date
BSE SENSEX Next 50 TMC,13825.99000000000000,14102.54000000000000,-276.55000000000000,-1.96,1/20/2026 12:00:00 AM
BSE LargeMidCap,10655.05000000000000,10843.12000000000000,-188.07000000000000,-1.73,1/20/2026 12:00:00 AM
BSE AllCap,10431.17000000000000,10630.99000000000000,-199.82000000000000,-1.88,1/20/2026 12:00:00 AM
BSE MidSmallCap,12374.99000000000000,12709.30000000000000,-334.31000000000000,-2.63,1/20/2026 12:00:00 AM
BSE 250 LargeMidCap 65:35 Index ,11908.22000000000000,12135.02000000000000,-226.80000000000000,-1.87,1/20/2026 12:00:00 AM
BSE SENSEX 50 TMC,8504.71000000000000,8628.16000000000000,-123.45000000000000,-1.43,1/20/2026 12:00:00 AM
BSE NEXT 500,13812.19000000000000,14192.11000000000000,-379.92000000000000,-2.68,1/20/2026 12:00:00 AM
BSE 250 MICROCAP,15783.19000000000000,16176.56000000000000,-393.37000000000000,-2.43,1/20/2026 12:00:00 AM
BSE Next 250 MICROCAP,4439.33000000000000,4591.50000000000000,-152.17000000000000,-3.31,1/20/2026 12:00:00 AM

