Index, Open, High, Low, Current Value, Prev. Close, Ch (pts), Ch (%), 52 Wk High, 52 WK Low, Turnover (Rs. Cr), % in Total Turnover
BSE SENSEX,84297.39,84932.08,84294.20,84791.36,84211.88,579.48,0.69,85290.06,71425.01,1066.11,18.61
BSE FOCUSED MIDCAP,24417.03,24557.89,24354.38,24553.98,24245.59,308.39,1.27,25404.05,18935.55,237.77,4.15
BSE SENSEX 50,26964.77,27154.63,26964.69,27117.68,26929.09,188.59,0.70,27254.47,22582.21,1340.84,23.41
BSE SENSEX Next 50,86134.87,86383.82,86025.43,86315.29,85828.96,486.33,0.57,86708.05,69787.64,557.44,9.73
BSE 100,27042.26,27207.15,27042.17,27177.37,26995.06,182.31,0.68,27304.17,22539.11,1898.28,33.14
BSE Bharat 22 Index,8941.50,9001.93,8941.27,8989.53,8925.96,63.57,0.71,9178.40,7356.51,257.98,4.50
BSE SENSEX SIXTY,34693.12,34921.03,34693.02,34870.80,34646.87,223.93,0.65,35058.17,29130.07,1458.33,25.46
BSE MidCap,46709.19,46923.64,46690.11,46907.64,46594.96,312.68,0.67,48264.25,37203.21,738.14,12.89
BSE SmallCap,53573.92,53785.90,53537.94,53776.56,53516.80,259.76,0.49,57827.69,41013.68,2258.93,39.43
BSE 200,11676.45,11745.35,11676.45,11733.34,11656.91,76.43,0.66,11785.69,9698.87,2600.34,45.39
BSE 150 MidCap Index,16337.59,16422.71,16323.61,16415.28,16293.61,121.67,0.75,16577.68,12866.17,1080.02,18.85
BSE 250 SmallCap Index,6879.91,6918.40,6875.31,6918.16,6873.85,44.31,0.64,7430.60,5296.93,963.72,16.82
BSE 250 LargeMidCap Index,11086.76,11151.05,11086.76,11140.25,11068.73,71.52,0.65,11189.21,9161.54,2811.23,49.08
BSE 400 MidSmallCap Index,12228.39,12291.20,12219.60,12289.93,12203.10,86.83,0.71,12677.43,9555.95,2043.74,35.68
BSE 500,37229.67,37444.68,37229.67,37414.21,37171.91,242.30,0.65,37550.68,30571.61,3996.96,69.78
BSE LargeCap,9930.59,9991.70,9930.59,9978.83,9916.19,62.64,0.63,10027.70,8286.22,2362.84,41.25
BSE SmallCap Select Index,8220.99,8278.98,8213.72,8276.65,8205.34,71.31,0.87,8551.88,5962.56,414.43,7.23
BSE MidCap Select Index,17177.68,17297.14,17157.83,17281.68,17099.01,182.67,1.07,18148.25,13537.75,314.91,5.50
BSE 100 LargeCap TMC Index,9530.43,9589.62,9530.43,9577.38,9517.60,59.78,0.63,9627.24,7960.27,1953.22,34.10
BSE SENSEX NEXT 30,39901.16,40050.26,39898.33,40016.85,39797.61,219.24,0.55,40201.08,32124.65,392.22,6.85
BSE 1000,11075.26,11135.74,11075.26,11127.45,11058.19,69.26,0.63,11169.54,9066.73,4706.87,82.17
BSE India 150,19254.41,19371.81,19254.41,19351.37,19222.21,129.16,0.67,19439.44,17474.55,2400.78,41.91
Index,Current Value,Prev. Close,Ch (pts),Ch (%),Date
BSE SENSEX Next 50 TMC,13904.27000000000000,13921.53000000000000,-17.26000000000000,-0.12,10/24/2025 12:00:00 AM
BSE LargeMidCap,10934.35000000000000,10968.78000000000000,-34.43000000000000,-0.31,10/24/2025 12:00:00 AM
BSE AllCap,10846.61000000000000,10878.63000000000000,-32.02000000000000,-0.29,10/24/2025 12:00:00 AM
BSE MidSmallCap,13368.71000000000000,13398.42000000000000,-29.71000000000000,-0.22,10/24/2025 12:00:00 AM
BSE 250 LargeMidCap 65:35 Index ,12233.33000000000000,12271.45000000000000,-38.12000000000000,-0.31,10/24/2025 12:00:00 AM
BSE SENSEX 50 TMC,8728.57000000000000,8763.01000000000000,-34.44000000000000,-0.39,10/24/2025 12:00:00 AM
BSE NEXT 500,15659.53000000000000,15675.47000000000000,-15.94000000000000,-0.10,10/24/2025 12:00:00 AM
BSE 250 MICROCAP,17679.64000000000000,17685.85000000000000,-6.21000000000000,-0.04,10/24/2025 12:00:00 AM
BSE Next 250 MICROCAP,5196.35000000000000,5210.67000000000000,-14.32000000000000,-0.27,10/24/2025 12:00:00 AM

