Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
532454,BHARTIARTL,A,2038.70,2093.85,2032.00,2080.65,1398845,29109.00,11143
532822,IDEA,A,9.63,10.57,9.27,10.07,221745433,22256.00,127453
533148,JSWENERGY,A,528.60,536.05,527.65,530.15,3885733,20665.00,3457
500247,KOTAKBANK,A,2173.75,2185.00,2125.00,2151.30,593346,12840.00,7694
532174,ICICIBANK,A,1380.00,1387.45,1373.65,1377.70,625452,8639.00,21434
500440,HINDALCO,A,832.00,845.00,827.45,841.05,906212,7568.00,7544
543308,KIMS,A,719.00,725.60,715.10,717.15,1010320,7234.00,610
500110,CHENNPETRO,A,781.85,829.85,746.00,774.80,902706,7138.00,25186
500295,VEDL,A,500.05,505.60,497.20,505.15,1125487,5648.00,21031
532541,COFORGE,A,1843.80,1866.00,1821.00,1831.60,291875,5368.00,15944
500325,RELIANCE,A,1461.25,1484.90,1458.70,1483.55,339534,5022.00,14475
532538,ULTRACEMCO,A,11939.95,12047.60,11925.00,12030.00,40116,4808.00,2208
544277,WAAREEENER,B,3554.90,3643.25,3536.70,3597.20,127111,4580.00,9325
534816,INDUSTOWER,A,364.55,381.40,359.90,374.65,1146263,4282.00,12736
500271,MFSL,A,1506.20,1539.40,1504.00,1512.40,281348,4245.00,5126
501301,TATAINVEST,A,843.50,849.65,817.35,833.95,503109,4168.00,11735
533096,ADANIPOWER,A,168.40,169.85,163.05,163.35,2431495,4043.00,21995
500034,BAJFINANCE,A,1091.00,1091.00,1076.00,1085.00,364554,3939.00,3594
500209,INFY,A,1512.30,1515.00,1498.00,1505.00,255104,3846.00,11227
500570,TMPV,A,403.60,411.35,403.60,408.15,895667,3663.00,18873
532483,CANBK,A,125.80,129.00,125.75,128.50,2835398,3629.00,11128
500470,TATASTEEL,A,175.40,177.85,175.40,176.80,1976241,3492.00,16240
517271,HBLENGINE,A,931.80,994.95,931.80,989.70,352403,3447.00,12751
543320,ETERNAL,A,325.90,334.80,324.60,334.15,1026705,3387.00,13663
540065,RBLBANK,A,316.30,325.90,316.30,322.15,973755,3153.00,12294
500875,ITC,A,417.00,422.50,416.60,420.50,739723,3111.00,15274
524715,SUNPHARMA,A,1699.60,1707.00,1690.00,1694.95,181147,3070.00,7275
534091,MCX,A,9017.00,9320.00,8981.00,9300.00,32465,2986.00,9164
500096,DABUR,A,507.65,510.10,505.00,505.20,539693,2746.00,8062
500049,BEL,A,424.65,424.80,414.60,415.90,645357,2694.00,15118
532134,BANKBARODA,A,266.10,272.20,266.10,271.55,985865,2662.00,8870
500547,BPCL,A,332.25,342.60,332.25,341.10,785700,2658.00,7421
500103,BHEL,A,231.45,236.85,231.45,235.05,1122535,2633.00,9379
500180,HDFCBANK,A,994.75,1009.65,994.75,1002.85,254100,2552.00,11082
500112,SBIN,A,905.50,919.40,905.50,918.00,273036,2501.00,10270
535789,SAMMAANCAP,A,190.00,191.25,185.60,188.85,1329233,2497.00,13969
500696,HINDUNILVR,A,2517.40,2524.10,2506.00,2509.50,96314,2420.00,6966
533339,ZENTEC,A,1329.05,1350.00,1305.60,1331.00,178628,2372.00,12936
540719,SBILIFE,A,1872.05,1923.00,1872.05,1902.95,124534,2367.00,10317
532927,ECLERX,A,4550.00,4801.00,4510.00,4770.00,49997,2342.00,8089
532809,FSL,A,327.10,356.00,325.95,353.45,666417,2328.00,11453
511218,SHRIRAMFIN,A,720.55,730.00,718.50,721.20,315786,2287.00,7160
540767,NAM-INDIA,A,923.50,942.00,917.75,919.95,240219,2242.00,2814
