Index, Open, High, Low, Current Value, Prev. Close, Ch (pts), Ch (%), 52 Wk High, 52 WK Low, Turnover (Rs. Cr), % in Total Turnover
BSE SENSEX,77424.36,77675.01,76899.71,76906.44,77017.79,-111.35,-0.14,86159.02,71545.81,753.29,11.56
BSE FOCUSED MIDCAP,24060.11,24076.37,23953.03,23987.92,23693.63,294.29,1.24,25388.27,20835.25,534.03,8.19
BSE SENSEX 50,25312.89,25379.35,25153.10,25154.95,25161.54,-6.59,-0.03,27541.52,23185.03,1009.09,15.48
BSE SENSEX Next 50,85422.21,85528.90,85009.89,85042.39,84393.71,648.68,0.77,88146.87,74029.08,1531.39,23.50
BSE 100,25656.52,25713.06,25502.91,25505.56,25472.71,32.85,0.13,27621.72,23249.92,2540.48,38.98
BSE SENSEX SIXTY,32793.10,32877.57,32586.93,32592.91,32597.35,-4.44,-0.01,35434.57,29895.59,1797.46,27.58
BSE Bharat 22 Index,9555.31,9560.80,9461.51,9465.21,9522.75,-57.54,-0.60,9837.10,8040.56,328.33,5.04
BSE 200,11236.17,11257.56,11173.26,11175.81,11153.82,21.99,0.20,11944.41,10077.77,3284.77,50.40
BSE 150 MidCap Index,16389.52,16400.77,16340.63,16361.20,16212.34,148.86,0.92,16689.79,14130.50,1528.94,23.46
BSE 250 SmallCap Index,6805.18,6812.37,6785.75,6802.99,6746.35,56.64,0.84,7225.32,5605.74,1521.89,23.35
BSE 250 LargeMidCap Index,10683.46,10704.49,10628.55,10630.85,10604.54,26.31,0.25,11319.13,9557.65,3718.38,57.05
BSE 400 MidSmallCap Index,12206.10,12214.64,12173.43,12190.73,12082.96,107.77,0.89,12466.64,10400.68,3050.83,46.81
BSE 500,35981.60,36048.03,35814.00,35821.07,35711.23,109.84,0.31,37874.46,31965.51,5240.27,80.40
BSE SmallCap Select Index,8333.22,8360.44,8305.95,8351.79,8249.32,102.47,1.24,8360.44,6756.43,614.59,9.43
BSE MidCap Select Index,17210.97,17221.78,17143.83,17156.71,16999.15,157.56,0.93,17884.64,14644.25,528.48,8.11
BSE 100 LargeCap TMC Index,9085.15,9106.99,9030.10,9032.05,9026.98,5.07,0.06,9738.10,8212.16,2189.43,33.59
BSE SENSEX NEXT 30,41930.31,41962.24,41648.24,41745.70,41573.42,172.28,0.41,41962.24,34653.55,1044.17,16.02
BSE 1000,10715.91,10735.02,10668.01,10669.98,10635.74,34.24,0.32,11234.91,9480.66,5990.56,91.92
BSE India 150,18508.12,18546.80,18409.73,18413.19,18375.53,37.66,0.20,19711.88,16644.76,2956.63,45.36
Index,Current Value,Prev. Close,Ch (pts),Ch (%),Date
BSE MidCap,46413.89000000000000,46422.47000000000000,-8.58000000000000,-0.02,5/5/2026 12:00:00 AM
BSE SmallCap,52356.02000000000000,52279.06000000000000,76.96000000000000,0.15,5/5/2026 12:00:00 AM
BSE SENSEX Next 50 TMC,14428.41000000000000,14404.27000000000000,24.14000000000000,0.17,5/5/2026 12:00:00 AM
BSE LargeMidCap,10476.53000000000000,10490.17000000000000,-13.64000000000000,-0.13,5/5/2026 12:00:00 AM
BSE AllCap,10429.71000000000000,10438.62000000000000,-8.91000000000000,-0.09,5/5/2026 12:00:00 AM
BSE LargeCap,9422.40000000000000,9436.99000000000000,-14.59000000000000,-0.15,5/5/2026 12:00:00 AM
BSE MidSmallCap,13195.88000000000000,13187.05000000000000,8.83000000000000,0.07,5/5/2026 12:00:00 AM
BSE SENSEX 50 TMC,8090.56000000000000,8114.08000000000000,-23.52000000000000,-0.29,5/5/2026 12:00:00 AM
BSE NEXT 500,15326.37000000000000,15337.47000000000000,-11.10000000000000,-0.07,5/5/2026 12:00:00 AM
BSE 250 MICROCAP,17276.14000000000000,17317.62000000000000,-41.48000000000000,-0.24,5/5/2026 12:00:00 AM
BSE Next 250 MICROCAP,5107.41000000000000,5088.94000000000000,18.47000000000000,0.36,5/5/2026 12:00:00 AM
BSE Smallcap 500,9257.68000000000000,9251.37000000000000,6.31000000000000,0.07,5/5/2026 12:00:00 AM

