Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
541770,CREDITACC,A,1284.60,1387.00,1282.00,1375.00,966606,13108.00,29443
513599,HINDCOPPER,A,533.65,551.75,523.95,549.20,2261014,12145.00,34008
541450,ADANIGREEN,A,883.55,892.75,867.10,877.45,1183993,10452.00,8826
500188,HINDZINC,A,682.95,699.35,680.75,691.80,1498247,10364.00,20129
543278,KALYANKJIL,A,450.30,451.50,390.00,400.05,1791243,7336.00,36846
540699,DIXON,A,10708.80,10790.40,10276.05,10505.00,58393,6124.00,17499
542812,FLUOROCHEM,A,3258.35,3258.35,3160.00,3227.00,187655,6020.00,765
543945,NETWEB,A,3220.75,3250.00,3081.80,3148.00,186041,5884.00,13878
532454,BHARTIARTL,A,1968.00,1999.00,1967.95,1995.70,281020,5582.00,8331
532822,IDEA,A,10.13,10.38,9.92,10.25,54640780,5547.00,36348
500378,JINDALSAW,A,182.90,194.60,180.60,191.90,2898098,5476.00,18918
511218,SHRIRAMFIN,A,978.65,993.45,972.70,983.85,517617,5108.00,6003
543320,ETERNAL,A,268.60,280.65,268.60,280.30,1742921,4771.00,18224
534091,MCX,A,2374.25,2424.70,2305.10,2353.85,182947,4328.00,10252
532667,SUZLON,A,46.23,46.70,45.45,46.15,8825606,4066.00,34266
532540,TCS,A,3091.20,3135.70,3082.00,3131.25,128062,3974.00,11866
500295,VEDL,A,672.25,675.90,658.95,670.00,570860,3806.00,15643
543940,JIOFIN,A,264.55,269.25,262.50,266.00,1396523,3707.00,16567
500034,BAJFINANCE,A,929.70,944.30,921.10,942.90,370033,3442.00,12799
544225,OLAELEC,A,32.48,33.84,32.23,33.49,10331526,3428.00,15297
540719,SBILIFE,A,2035.05,2075.60,2035.05,2060.00,164976,3387.00,973
539448,INDIGO,A,4763.60,4865.00,4750.00,4855.00,69586,3350.00,6511
500325,RELIANCE,A,1388.05,1399.80,1373.00,1399.40,226707,3147.00,13976
517271,HBLENGINE,A,703.35,738.90,701.00,718.55,421062,3039.00,12078
500112,SBIN,A,1030.85,1040.45,1021.80,1028.70,289704,2987.00,12518
533179,PERSISTENT,A,6335.00,6395.20,6026.00,6152.60,48390,2982.00,13280
543237,MAZDOCK,A,2330.00,2351.75,2287.15,2334.25,125545,2909.00,9411
500049,BEL,A,406.05,409.50,397.10,403.95,713444,2872.00,9230
500875,ITC,A,326.35,329.55,324.35,325.35,870118,2842.00,25821
540900,NEWGEN,A,635.15,658.10,621.70,645.90,440512,2837.00,9689
500124,DRREDDY,A,1167.65,1193.60,1149.00,1163.95,236894,2802.00,5962
543257,IRFC,A,115.95,117.20,113.85,115.40,2405242,2771.00,15249
500209,INFY,A,1644.95,1658.40,1631.00,1654.00,167182,2746.00,8241
500180,HDFCBANK,A,925.00,932.70,915.40,924.80,291848,2702.00,12600
543396,PAYTM,A,1287.65,1301.75,1224.00,1237.10,203071,2544.00,6692
500570,TMPV,A,335.35,343.70,335.35,340.65,728014,2477.00,14539
543664,KAYNES,A,3479.05,3515.00,3429.50,3490.90,70503,2456.00,6894
500109,MRPL,A,139.15,149.75,138.80,148.80,1627830,2386.00,11515
500510,LT,A,3791.95,3828.00,3722.25,3750.60,62874,2366.00,9324
